userid	history_list	pos_target	full_candidate
885703	[441774, 1025307, 302922, 134765, 284579, 1076104, 1086922, 1021656, 1061262, 741493]	8	[614280, 1039288, 1051951, 61815, 947648, 843815, 1042809, 553779, 809358, 1115625]
105307	[65413, 696406, 460224, 10312, 197452, 1088803, 811624, 649876, 246487, 209532]	8	[176411, 846227, 924867, 607662, 574973, 102723, 253986, 817727, 634845, 368723]
743175	[591, 1059767, 900432, 600653, 867261, 812123, 388754, 900421, 1103605, 1076994]	5	[28222, 249595, 1053578, 456348, 300648, 560379, 448577, 1061262, 522256, 158832]
581925	[597857, 879350, 1032351, 863547, 852994, 1050685, 8315, 864447, 39412, 95535]	5	[627008, 1047069, 329491, 820898, 190678, 615722, 297651, 182108, 68387, 883290]
1374303	[164753, 775048, 899195, 879949, 490181, 79368, 85291, 1036032, 469817, 582368]	9	[639120, 998017, 277001, 282802, 521514, 883290, 23028, 967616, 574973, 819004]
1280576	[550065, 661314, 91846, 410254, 819544, 410253, 900797, 302922, 794976, 284579]	2	[516859, 431535, 134765, 931953, 520559, 1114430, 331037, 778939, 757463, 168302]
936118	[565982, 741469, 331259, 31455, 510970, 31496, 67992, 809501, 605575, 681368]	1	[975389, 331296, 884995, 614541, 515214, 1078745, 760390, 617119, 633627, 375790]
707570	[900341, 381854, 600528, 282716, 146944, 458831, 583939, 388753, 220735, 550]	1	[778988, 1075531, 171400, 95535, 630311, 394969, 1101434, 1093605, 49949, 1105835]
1404658	[1074108, 846116, 1074188, 246597, 11623, 187358, 130364, 246499, 14863, 246613]	4	[629253, 750071, 164754, 267951, 10312, 638902, 342630, 920065, 862296, 282962]
1014506	[821010, 489490, 300667, 884053, 497021, 520850, 869925, 715, 820983, 103198]	7	[516588, 627227, 215046, 212938, 613, 817354, 95393, 260151, 11623, 803853]
935992	[449821, 862393, 774063, 900397, 1059714, 1101692, 613844, 443335, 866769, 580159]	3	[1092029, 1037598, 496109, 157903, 815257, 633232, 1075809, 315352, 900452, 478333]
676446	[563184, 234872, 1088803, 864078, 17474, 276033, 15520, 1090965, 187358, 1094348]	4	[547245, 910545, 996746, 344790, 10312, 649876, 780304, 506, 627377, 1061262]
230682	[354225, 905761, 768139, 596804, 1055835, 1012931, 313525, 764118, 286504, 772961]	6	[1032353, 995495, 657988, 300427, 978961, 627760, 815806, 564130, 283111, 601292]
345151	[327246, 949959, 1075531, 534768, 975380, 817727, 600528, 583939, 198972, 282716]	9	[741492, 243160, 1037598, 386184, 627008, 215280, 492214, 400532, 2327, 460]
828183	[881665, 465067, 657326, 633627, 622946, 193031, 1062685, 887338, 811760, 64014]	1	[188681, 887337, 260151, 445212, 900456, 371026, 684720, 573176, 462786, 185111]
196019	[215189, 690312, 1101692, 157903, 443335, 613844, 900397, 1059714, 866769, 520735]	1	[368723, 281010, 581974, 1074108, 849875, 811977, 910542, 13313, 811923, 543658]
45955	[741491, 582368, 879949, 85291, 1022919, 490181, 819004, 899195, 68387, 707528]	3	[487957, 30502, 194604, 164753, 518440, 251002, 30448, 616560, 1102447, 193031]
1361913	[246498, 246597, 149195, 846116, 846134, 11623, 451071, 14864, 14863, 803853]	4	[1044821, 103198, 1016093, 996746, 616523, 584165, 331176, 919900, 1046853, 220735]
153011	[707528, 775048, 582368, 164753, 75639, 638922, 162603, 741492, 819004, 899195]	8	[214609, 820946, 1101307, 686228, 328712, 287234, 851436, 772055, 375863, 622964]
946398	[681360, 631293, 31455, 381426, 510970, 681368, 67992, 1038468, 739798, 529397]	3	[639172, 212233, 515420, 409236, 197452, 752580, 863547, 578862, 812529, 680865]
537908	[300745, 13313, 212415, 314425, 1034067, 272504, 300767, 512686, 233756, 995495]	5	[180046, 1099214, 768508, 1098488, 269560, 328408, 263340, 1103262, 864520, 1062546]
59816	[476960, 655197, 586989, 686210, 400538, 468937, 512530, 845735, 867660, 980804]	9	[751656, 864347, 14030, 324232, 14030, 301010, 1055776, 443335, 459812, 768684]
762576	[252853, 441774, 741493, 819544, 410253, 900797, 1115793, 1086922, 519229, 284579]	5	[1056489, 900302, 490770, 1090965, 490211, 972209, 108205, 1046487, 455850, 922894]
1009210	[280705, 837446, 805616, 26102, 636190, 67025, 1032351, 8315, 1081649, 23302]	8	[862393, 195657, 203040, 639688, 944821, 550065, 1059424, 516251, 788041, 512530]
444605	[1036760, 864078, 187358, 576761, 810885, 1074188, 1074108, 451071, 846116, 15520]	4	[344790, 790368, 600616, 875393, 386410, 802, 771770, 883415, 699271, 164252]
1043514	[1061158, 138900, 34975, 451377, 254825, 203472, 506865, 502743, 62246, 881717]	1	[274846, 284510, 614026, 919756, 278641, 1032361, 681926, 883415, 296632, 1094348]
927959	[1014189, 916630, 681926, 456572, 753197, 276919, 283201, 220490, 300631, 884995]	6	[912826, 1058329, 584459, 327992, 568048, 1008012, 916686, 885622, 563095, 820229]
386358	[180918, 516960, 1078191, 512914, 348009, 792654, 246872, 843964, 547190, 564162]	9	[882344, 364925, 1032353, 210438, 282204, 297726, 1091088, 180401, 300427, 771783]
281207	[584171, 1102097, 111696, 13452, 282616, 746535, 816257, 141, 900089, 587274]	5	[490181, 262598, 980367, 634845, 628709, 15355, 492214, 846247, 11892, 900409]
783868	[1103605, 591, 867261, 1059767, 900421, 900409, 600616, 820229, 388754, 900452]	8	[811972, 1057545, 62246, 1074188, 625180, 448577, 327006, 249544, 900432, 311565]
438617	[900447, 820903, 1029168, 600691, 1059787, 794280, 1101305, 864721, 74110, 900463]	9	[964825, 614010, 1078047, 505811, 900449, 1053248, 794153, 324510, 715, 300648]
1445460	[918899, 639227, 515310, 81654, 235019, 807, 850288, 597821, 315191, 300809]	9	[23302, 490430, 98665, 509782, 1059851, 644193, 1022919, 195657, 163289, 864146]
296660	[185111, 185113, 302652, 519708, 368723, 408615, 520081, 476620, 519225, 842288]	5	[686208, 1093367, 466156, 615722, 144635, 639120, 410253, 1050715, 1052077, 909982]
514219	[1051714, 900470, 900463, 1098216, 600644, 505111, 67604, 820945, 221093, 567966]	8	[225225, 843429, 44855, 198972, 715, 812528, 480092, 600525, 820898, 670320]
1400273	[1044821, 65413, 741664, 1088803, 771770, 514116, 246235, 468908, 460224, 1043894]	6	[622964, 246613, 261441, 695817, 864089, 1050685, 1036760, 23518, 376678, 342630]
548403	[331253, 31496, 681360, 26815, 180046, 510970, 331259, 741469, 681368, 27726]	4	[524496, 639688, 214934, 645929, 409236, 1078749, 491886, 180401, 1041638, 614538]
445111	[842306, 300901, 901786, 441811, 503760, 628113, 808828, 919412, 149294, 409945]	5	[284510, 801571, 262637, 595627, 547886, 2327, 877343, 142784, 35090, 807810]
74443	[215490, 391770, 330320, 178952, 906238, 553296, 798626, 286321, 370915, 934248]	5	[302470, 473680, 896151, 872587, 1082586, 951925, 37237, 614280, 911093, 219291]
1252698	[625636, 331435, 854965, 516357, 516251, 922894, 631466, 922943, 331453, 547886]	1	[25827, 446185, 631881, 300551, 600341, 486876, 375790, 553327, 64014, 431421]
766206	[460762, 323567, 942480, 442087, 198720, 799036, 607725, 354231, 313999, 799051]	8	[567966, 731241, 886039, 631467, 1061408, 878433, 608464, 1046487, 57871, 1014661]
1275839	[644852, 148906, 241896, 780646, 300850, 811972, 512322, 849603, 212129, 928071]	9	[734801, 579377, 600746, 220675, 1039262, 628493, 434309, 279252, 315352, 33047]
900061	[220248, 954111, 523176, 329491, 921557, 853453, 86292, 878403, 774080, 1102913]	7	[400532, 953844, 210438, 456348, 453107, 518440, 541829, 553774, 696406, 821245]
842218	[279574, 1008634, 751657, 542850, 701195, 964825, 614026, 479140, 34984, 254939]	6	[173659, 584169, 862782, 701147, 587274, 176412, 458710, 277724, 205101, 283741]
445425	[794954, 819540, 1041394, 1061262, 284579, 519229, 455336, 741493, 91846, 794976]	8	[448641, 551465, 867660, 1078749, 62246, 519708, 301010, 300892, 441774, 176516]
937979	[187358, 1036760, 1094348, 246235, 246597, 98665, 771770, 10312, 1074188, 180401]	8	[812542, 511092, 1171, 911880, 877696, 608464, 1001363, 482495, 246306, 911093]
88381	[212093, 920025, 212089, 932584, 411090, 755151, 43196, 338167, 811927, 627654]	1	[662086, 710187, 1171, 299713, 810170, 178952, 564559, 349820, 778364, 284510]
716400	[451377, 642706, 34975, 95122, 498800, 333399, 203472, 284510, 264263, 775298]	4	[812590, 324577, 370915, 534768, 138900, 820898, 469814, 811624, 842306, 876953]
1419514	[1030429, 168302, 1042802, 883290, 564099, 314069, 317573, 468405, 29704, 1075646]	7	[909982, 300018, 561249, 901786, 900394, 335414, 180947, 251060, 26102, 1089689]
777053	[251002, 444284, 568234, 276137, 846691, 1047069, 212574, 151184, 846187, 809746]	9	[261, 703625, 626528, 515291, 842288, 602886, 1069131, 600461, 465212, 851436]
444920	[300551, 844543, 220302, 1100319, 578862, 146944, 600528, 220675, 90127, 458831]	8	[246499, 602886, 954111, 460762, 491886, 629604, 562451, 573866, 282716, 580942]
529169	[959949, 1029168, 220789, 600644, 520751, 820946, 67604, 1098216, 794280, 1059798]	9	[1038512, 794976, 391368, 545600, 323567, 28222, 843815, 15355, 812001, 505111]
339174	[451071, 1074188, 209532, 246487, 771770, 546398, 576761, 14864, 246597, 1078026]	4	[311193, 372747, 490181, 1101572, 846116, 863649, 17474, 900415, 286321, 608464]
203953	[900786, 511157, 110944, 298760, 339702, 433880, 158317, 343355, 1069130, 920065]	9	[709999, 524620, 1008012, 11160, 354224, 1082586, 188362, 705333, 779745, 277724]
778848	[975380, 220675, 1059686, 220315, 220735, 473680, 520678, 550, 844543, 1004194]	6	[1042802, 1051714, 626528, 883740, 1078047, 178934, 520659, 863946, 772055, 794954]
911207	[479978, 243608, 515255, 83830, 582682, 522072, 151828, 254426, 815290, 287179]	4	[1030222, 1101692, 212093, 741491, 887336, 193031, 602105, 519225, 803588, 576005]
374268	[248664, 180918, 212233, 1016093, 771783, 816814, 644193, 564162, 265667, 846883]	7	[299060, 482486, 510968, 797649, 1043466, 944821, 1054653, 846871, 469817, 46261]
1165400	[23028, 452458, 33004, 979062, 242605, 225489, 342886, 506200, 602032, 482488]	3	[817354, 23518, 518440, 182108, 757463, 279889, 198972, 375589, 150140, 185111]
198880	[805616, 636190, 852994, 1050685, 1050985, 788041, 597857, 837446, 550180, 300778]	1	[262637, 280705, 808828, 220815, 91846, 762663, 776438, 811977, 630252, 608556]
299649	[788488, 567542, 187358, 247621, 1094348, 1039288, 98665, 130364, 276033, 196188]	4	[814750, 920025, 301010, 562794, 522256, 565982, 300767, 876748, 615832, 547190]
638973	[225489, 23028, 576950, 281243, 469814, 1062817, 452458, 506200, 33004, 242605]	3	[881717, 809746, 583939, 602032, 1014661, 11160, 797016, 757475, 745003, 563185]
1377241	[216509, 491760, 1012386, 263714, 216575, 491762, 564154, 1056757, 879702, 563282]	0	[209734, 333399, 24666, 336125, 921073, 601049, 485183, 807810, 35262, 2262]
453714	[327246, 481, 456571, 460, 583939, 600548, 300527, 863657, 221989, 450]	5	[333874, 189599, 881665, 901276, 577644, 600528, 344790, 474324, 22879, 1037692]
1263398	[10312, 98665, 1102814, 196188, 276033, 1036760, 741664, 905629, 1088803, 1044821]	4	[980367, 1044028, 899195, 1077937, 460224, 624389, 944821, 84947, 313999, 216575]
1325258	[262187, 503701, 1092029, 564162, 910917, 512914, 246872, 616560, 1016093, 547190]	5	[763159, 812531, 313999, 280705, 512304, 247090, 1021656, 882491, 521340, 83830]
1181540	[130364, 246599, 1036760, 771770, 563184, 864078, 1044821, 15520, 1088803, 180401]	5	[39464, 459551, 442087, 582368, 314425, 905629, 215588, 953844, 333874, 430390]
17810	[151828, 582682, 522072, 887336, 639172, 24666, 83830, 345660, 909982, 579377]	8	[1055350, 715, 149195, 1077937, 1020394, 277804, 175442, 1100942, 81148, 26555]
1405231	[812559, 212168, 364925, 670320, 900787, 580942, 811977, 92297, 28452, 1105947]	5	[863441, 334412, 49949, 818999, 1032361, 300882, 602886, 164252, 661007, 598923]
1068376	[214948, 979379, 272504, 601021, 811921, 760154, 889499, 608556, 300767, 255602]	3	[692525, 578721, 348009, 362522, 931953, 1053892, 1115793, 1114430, 1053248, 476023]
214250	[314425, 264067, 812531, 920025, 338167, 175442, 889499, 959911, 755151, 233756]	8	[189150, 151828, 203472, 151184, 516581, 877393, 133432, 299713, 480381, 150140]
1025234	[24591, 807810, 1103912, 177077, 1053373, 802901, 677285, 565974, 784863, 173049]	9	[763060, 194604, 308539, 489490, 522072, 273258, 769390, 867660, 221738, 652233]
167598	[1047069, 649877, 851436, 882344, 932123, 265666, 40910, 546505, 1089868, 809746]	9	[843123, 1053282, 511437, 1057401, 200050, 779749, 582464, 165147, 1025593, 573110]
215967	[1066648, 887336, 287179, 215280, 151828, 815290, 515255, 867631, 381453, 582682]	9	[327307, 772185, 1090965, 173628, 433880, 547190, 745003, 1059863, 175818, 479978]
826546	[317573, 314069, 468405, 168302, 328143, 1042802, 758535, 29704, 883290, 861424]	1	[1009302, 1030429, 248342, 967584, 873473, 1032361, 1115793, 280705, 600656, 189150]
648352	[920065, 188681, 158317, 778364, 387060, 686208, 1100153, 1107293, 686804, 298760]	0	[1078257, 327307, 558318, 788036, 878177, 511092, 328408, 600625, 923378, 13869]
1268808	[300018, 335325, 1059686, 228546, 560486, 583939, 458831, 95122, 317343, 189599]	6	[281010, 803588, 278641, 959551, 142784, 512322, 282716, 906232, 283741, 410253]
528658	[297651, 577644, 910303, 794690, 35090, 212149, 276785, 812001, 296336, 300901]	9	[524620, 1103262, 802921, 809746, 327006, 585469, 1053285, 919384, 159979, 529923]
514355	[220789, 864721, 1101305, 600625, 820946, 220815, 820945, 775566, 600644, 74110]	5	[217597, 300590, 964825, 912826, 1076104, 600728, 308551, 278641, 468433, 775298]
1444330	[148525, 212538, 216262, 622964, 758085, 578527, 92297, 512261, 1105947, 300882]	0	[312176, 300614, 479978, 919285, 492608, 216529, 910303, 285686, 715, 901276]
774066	[276033, 741664, 843429, 1088803, 1094348, 187358, 15522, 159979, 547649, 234872]	6	[106338, 779211, 906238, 583171, 94249, 313999, 98665, 72156, 812338, 1059360]
58581	[329491, 523176, 853453, 86292, 878403, 954111, 553774, 8400, 603442, 13927]	1	[224328, 220248, 455850, 196603, 861424, 843429, 342630, 864266, 750769, 605575]
984423	[241896, 327307, 811956, 644852, 812542, 1053285, 811969, 812550, 33047, 582230]	1	[158832, 1046853, 699317, 842306, 1051680, 176353, 547152, 211775, 655197, 899195]
150289	[568048, 1093367, 576005, 179009, 808643, 959833, 819708, 334737, 834072, 192686]	4	[639227, 287620, 434309, 514116, 268116, 81013, 335118, 511092, 476960, 1009302]
1440751	[780186, 851436, 486876, 265666, 863666, 1089868, 40910, 846691, 649877, 932123]	0	[511957, 651618, 545600, 818999, 216285, 625232, 692525, 216469, 799036, 1026004]
918023	[151832, 1078745, 300614, 887337, 64014, 811760, 465067, 657326, 1062685, 193031]	0	[887338, 627550, 864089, 1054679, 287620, 815394, 451658, 780209, 337118, 74110]
816613	[863657, 900341, 900355, 239630, 221989, 450, 583939, 460, 560486, 481]	9	[561630, 1059863, 545600, 394969, 600366, 883415, 469814, 542850, 248664, 600528]
284621	[844543, 510, 820396, 198970, 600525, 220315, 512304, 1004194, 381854, 339688]	9	[585469, 1088282, 815292, 460224, 752689, 931492, 928071, 705333, 224729, 583939]
1397368	[212538, 1105947, 1053292, 886822, 812559, 580942, 998098, 212155, 439411, 459551]	7	[686228, 524620, 224328, 194604, 1097298, 562821, 185113, 300882, 1007570, 613844]
733782	[547886, 854965, 331435, 922894, 516251, 626718, 631466, 331453, 922943, 446185]	5	[461895, 157191, 1052635, 525356, 331212, 625636, 568048, 8374, 262080, 206]
1202282	[474324, 776438, 746936, 616263, 176516, 328143, 1051174, 1038512, 29711, 758535]	0	[868946, 462786, 862077, 261263, 516119, 547190, 600911, 31350, 1078257, 628113]
422434	[381453, 815290, 81148, 479978, 901276, 336125, 909982, 515255, 24666, 520559]	1	[106553, 867631, 573176, 1074312, 253916, 878433, 262187, 491911, 505111, 541829]
1381580	[331435, 922894, 625636, 631466, 863441, 1044028, 516357, 516251, 922943, 580874]	4	[673636, 216285, 313704, 168247, 1062287, 615224, 1103262, 1066648, 638641, 670549]
736182	[900786, 188681, 387060, 200635, 778364, 343355, 1107293, 298760, 686804, 386206]	9	[393245, 333399, 700867, 564150, 681360, 600548, 207566, 196188, 371026, 511157]
1368926	[64014, 1078745, 887338, 633627, 1062685, 811760, 622946, 657326, 1106523, 980367]	7	[491859, 228638, 807, 297546, 81654, 564127, 261263, 887337, 900341, 562821]
1109772	[600649, 516125, 490430, 601850, 441773, 349882, 176411, 39053, 811381, 613]	7	[900299, 844547, 928071, 293945, 371026, 354225, 900456, 663642, 516357, 1076104]
442077	[547190, 212233, 180918, 644193, 265667, 1016093, 262187, 516960, 564162, 792654]	3	[653716, 855139, 918899, 846883, 652233, 2168, 1056696, 193031, 1088282, 375790]
41346	[683926, 214948, 608556, 1054653, 812531, 512684, 512682, 811921, 627654, 272504]	9	[601126, 511437, 900341, 1051714, 99114, 473680, 1075646, 386184, 584623, 328408]
1159365	[543658, 106553, 920093, 1044037, 180239, 1056999, 843123, 543622, 365727, 1043592]	4	[960291, 900463, 1057545, 616523, 460789, 711272, 811958, 558261, 614026, 960293]
329493	[929615, 565890, 277628, 430390, 273258, 349820, 1078749, 815857, 957464, 584623]	1	[565974, 215515, 1061408, 614234, 282962, 686804, 281442, 1069130, 297726, 834072]
1402836	[220743, 230016, 900421, 1104502, 388754, 591, 844547, 867261, 1102432, 812123]	8	[630311, 217553, 775298, 578862, 282962, 843429, 1055885, 284579, 635, 14030]
674417	[312176, 148525, 1011077, 212538, 1093605, 600911, 758085, 878177, 439411, 900631]	5	[248664, 460224, 863367, 1037692, 813782, 734801, 1102097, 459551, 307568, 33004]
1015807	[130816, 524496, 300441, 878435, 26623, 600452, 812431, 878433, 269683, 939582]	2	[262187, 547886, 708802, 747148, 546398, 206, 1037622, 144683, 1093605, 480586]
1446310	[515235, 1055789, 334488, 1055927, 430390, 215327, 476539, 411290, 349820, 215515]	8	[916630, 490770, 468405, 547357, 496156, 410646, 837446, 381453, 188362, 308531]
321661	[151828, 887336, 639172, 83830, 81148, 24666, 515255, 815290, 579377, 522072]	6	[1061408, 741664, 1059798, 371026, 584165, 768139, 867631, 146944, 880090, 595627]
1283638	[300527, 327246, 300549, 198972, 1053578, 239630, 900355, 450, 520678, 512304]	6	[1051950, 265667, 600746, 668049, 845735, 900787, 1075531, 221093, 279889, 1024513]
775441	[376678, 585469, 801571, 780209, 496109, 217628, 1057545, 919522, 789565, 1037692]	5	[1104502, 1101305, 148257, 574973, 260151, 817354, 820229, 495160, 287620, 1041406]
248057	[459806, 576761, 246597, 846116, 1074188, 24960, 130364, 196188, 563184, 522256]	1	[433524, 1074108, 808828, 699271, 1090295, 561197, 650083, 504661, 582076, 902041]
1456709	[1093367, 802060, 1044834, 342752, 42838, 179009, 268116, 576005, 959833, 192686]	6	[282962, 262080, 35397, 1015485, 515235, 157903, 819708, 491886, 188681, 1103262]
957211	[337118, 515214, 875393, 561710, 217709, 215341, 869398, 815255, 809521, 815257]	1	[1098488, 750769, 778364, 72156, 216215, 910917, 260151, 331435, 649876, 430280]
995042	[314069, 616263, 1030429, 1042802, 861424, 474324, 251060, 809502, 263755, 1075646]	6	[108205, 346759, 331296, 264227, 220248, 628113, 168302, 591, 1052996, 459806]
840906	[13313, 811921, 1034067, 812531, 512686, 584241, 601021, 889499, 1032353, 811927]	3	[342630, 805408, 234841, 782692, 716, 553296, 7187, 1101709, 338512, 788036]
1091314	[8315, 597857, 864447, 615722, 852994, 863547, 879350, 280705, 67025, 1113991]	7	[710877, 287234, 900495, 684720, 277001, 225225, 211775, 1032351, 212129, 258192]
209937	[565516, 819545, 8374, 133432, 608532, 930511, 812708, 843815, 148257, 176412]	6	[651189, 511687, 851436, 37237, 106529, 14030, 651618, 577113, 948929, 674322]
712988	[220789, 820946, 959949, 794280, 1059771, 567966, 820898, 820903, 221093, 820945]	7	[468322, 776438, 910927, 212089, 300441, 608556, 563184, 187750, 805408, 490430]
1066318	[819545, 519223, 8374, 148257, 812708, 133432, 565516, 651618, 930511, 608532]	7	[597114, 799036, 268116, 1020394, 185111, 910646, 868946, 176412, 479978, 34577]
954257	[216509, 1056757, 1012386, 263406, 563282, 778356, 263714, 216215, 211888, 302470]	3	[516960, 446185, 99413, 879702, 627008, 1053292, 450, 615639, 24457, 565974]
713119	[1015485, 2529, 653716, 751642, 328496, 324577, 258191, 1100942, 809666, 190167]	9	[755177, 967616, 910542, 293945, 220315, 212168, 519708, 1051680, 663642, 176353]
249070	[449821, 220712, 506, 866769, 443335, 600626, 1101692, 515936, 300590, 600566]	5	[812338, 778939, 300631, 663169, 246306, 215189, 164754, 881665, 394727, 809208]
667603	[327246, 1100319, 198972, 220302, 600548, 550, 900394, 1075531, 1004194, 220735]	9	[846411, 489490, 344790, 564, 178952, 370918, 745003, 487957, 558322, 975380]
698321	[820898, 220789, 1059771, 900470, 67604, 959949, 221093, 794280, 187750, 567530]	9	[703625, 283201, 264344, 657326, 796972, 638223, 300712, 889499, 283950, 300648]
1058180	[846882, 541829, 246872, 616560, 816814, 265667, 248109, 843964, 846871, 458151]	8	[515291, 452724, 313525, 381426, 1032351, 315191, 300667, 503760, 247090, 269599]
452272	[411290, 273258, 515235, 455348, 188362, 334488, 565890, 1055927, 515291, 430390]	5	[512686, 1055885, 455368, 896151, 185111, 929615, 264344, 300590, 701195, 455336]
1379218	[775566, 1098216, 520751, 1059798, 900470, 600644, 820946, 187750, 959949, 300648]	0	[794280, 547190, 627760, 311420, 46261, 1101572, 627297, 919900, 811977, 1036444]
1160872	[810885, 196188, 919384, 11623, 459806, 1043894, 741664, 468908, 905629, 1094348]	2	[745003, 817985, 209532, 811956, 94249, 1059863, 812338, 916686, 430390, 284579]
1042967	[237890, 220029, 846743, 1010894, 516859, 755177, 492214, 876748, 546718, 699316]	8	[487957, 613, 74235, 601217, 628469, 1055024, 809502, 8667, 456464, 802060]
1121952	[1077937, 506865, 7187, 1061158, 342941, 62246, 902041, 864089, 1061156, 439847]	0	[203472, 200050, 178100, 275173, 168302, 1055350, 283948, 805616, 1052635, 1036444]
768360	[342941, 506865, 1061158, 864089, 34975, 203472, 264263, 547357, 284510, 1030168]	0	[317343, 1037017, 215982, 906238, 1103912, 874549, 808358, 757475, 1097298, 964825]
1405758	[509713, 11817, 146265, 33776, 545600, 627008, 788037, 281442, 187552, 29784]	6	[142784, 2637, 772055, 600212, 491886, 855139, 243160, 1066648, 864348, 960293]
1120339	[497021, 103198, 407928, 435097, 72156, 300667, 260151, 869925, 821010, 820952]	9	[798992, 651618, 873478, 812431, 516497, 631494, 613844, 65413, 200635, 489490]
1438628	[1089868, 444284, 851436, 809746, 486876, 40910, 932123, 246602, 863666, 649877]	6	[456571, 813176, 1061262, 300712, 873473, 509713, 212574, 529923, 560486, 95419]
647448	[468322, 338512, 919538, 763060, 1105710, 373154, 706325, 215046, 890874, 926388]	5	[741491, 922876, 630252, 331101, 863547, 638609, 846411, 803853, 42838, 601850]
