userid	itemid_history	pos_target_index	itemid_candidate
88381	[755151, 43196, 338167, 811927, 627654]	0	[710187, 178952, 810170, 564559, 662086]
716400	[333399, 203472, 284510, 264263, 775298]	0	[138900, 820898, 876953, 812590, 534768]
1419514	[314069, 317573, 468405, 29704, 1075646]	0	[251060, 300018, 901786, 180947, 1089689]
777053	[1047069, 212574, 151184, 846187, 809746]	1	[465212, 851436, 842288, 703625, 1069131]
444920	[146944, 600528, 220675, 90127, 458831]	3	[580942, 629604, 491886, 282716, 954111]
529169	[820946, 67604, 1098216, 794280, 1059798]	1	[812001, 505111, 15355, 545600, 794976]
339174	[546398, 576761, 14864, 246597, 1078026]	2	[311193, 372747, 846116, 1101572, 900415]
203953	[433880, 158317, 343355, 1069130, 920065]	4	[354224, 1082586, 11160, 779745, 277724]
778848	[473680, 520678, 550, 844543, 1004194]	2	[772055, 626528, 520659, 1042802, 178934]
911207	[522072, 151828, 254426, 815290, 287179]	3	[1030222, 741491, 576005, 887336, 193031]
374268	[816814, 644193, 564162, 265667, 846883]	3	[797649, 1043466, 299060, 846871, 482486]
1165400	[225489, 342886, 506200, 602032, 482488]	1	[279889, 182108, 185111, 375589, 757463]
198880	[788041, 597857, 837446, 550180, 300778]	0	[280705, 811977, 776438, 262637, 630252]
299649	[1039288, 98665, 130364, 276033, 196188]	4	[562794, 876748, 814750, 301010, 522256]
638973	[1062817, 452458, 506200, 33004, 242605]	3	[757475, 583939, 797016, 602032, 745003]
1377241	[491762, 564154, 1056757, 879702, 563282]	4	[921073, 601049, 2262, 807810, 209734]
453714	[600548, 300527, 863657, 221989, 450]	3	[189599, 333874, 577644, 600528, 881665]
1263398	[1036760, 741664, 905629, 1088803, 1044821]	1	[944821, 460224, 624389, 216575, 313999]
1325258	[512914, 246872, 616560, 1016093, 547190]	1	[1021656, 247090, 521340, 280705, 763159]
1181540	[864078, 1044821, 15520, 1088803, 180401]	1	[459551, 905629, 953844, 442087, 333874]
17810	[24666, 83830, 345660, 909982, 579377]	4	[1100942, 175442, 149195, 1020394, 81148]
1405231	[580942, 811977, 92297, 28452, 1105947]	2	[334412, 863441, 300882, 598923, 602886]
1068376	[760154, 889499, 608556, 300767, 255602]	0	[362522, 1053892, 476023, 1115793, 931953]
214250	[175442, 889499, 959911, 755151, 233756]	1	[516581, 480381, 299713, 189150, 150140]
1025234	[802901, 677285, 565974, 784863, 173049]	1	[489490, 652233, 769390, 194604, 522072]
167598	[265666, 40910, 546505, 1089868, 809746]	1	[1053282, 573110, 1057401, 1025593, 165147]
215967	[815290, 515255, 867631, 381453, 582682]	3	[772185, 433880, 175818, 479978, 547190]
826546	[1042802, 758535, 29704, 883290, 861424]	0	[1030429, 280705, 1009302, 1115793, 967584]
648352	[686208, 1100153, 1107293, 686804, 298760]	3	[878177, 13869, 923378, 1078257, 328408]
1268808	[583939, 458831, 95122, 317343, 189599]	2	[959551, 906232, 282716, 283741, 281010]
528658	[212149, 276785, 812001, 296336, 300901]	1	[1103262, 529923, 802921, 524620, 327006]
514355	[220815, 820945, 775566, 600644, 74110]	4	[300590, 775298, 912826, 308551, 600728]
1444330	[578527, 92297, 512261, 1105947, 300882]	0	[312176, 919285, 285686, 479978, 300614]
774066	[187358, 15522, 159979, 547649, 234872]	4	[583171, 106338, 1059360, 72156, 98665]
58581	[954111, 553774, 8400, 603442, 13927]	2	[224328, 750769, 220248, 861424, 196603]
984423	[1053285, 811969, 812550, 33047, 582230]	3	[1051680, 655197, 158832, 1046853, 699317]
150289	[959833, 819708, 334737, 834072, 192686]	0	[268116, 639227, 287620, 434309, 335118]
1440751	[1089868, 40910, 846691, 649877, 932123]	3	[216285, 799036, 625232, 511957, 216469]
918023	[811760, 465067, 657326, 1062685, 193031]	3	[451658, 627550, 815394, 887338, 287620]
816613	[450, 583939, 460, 560486, 481]	3	[1059863, 469814, 561630, 600528, 542850]
284621	[220315, 512304, 1004194, 381854, 339688]	2	[460224, 224729, 583939, 815292, 705333]
1397368	[580942, 998098, 212155, 439411, 459551]	3	[686228, 185113, 224328, 300882, 1097298]
733782	[626718, 631466, 331453, 922943, 446185]	1	[1052635, 625636, 331212, 461895, 262080]
1202282	[328143, 1051174, 1038512, 29711, 758535]	3	[628113, 462786, 261263, 868946, 31350]
422434	[336125, 909982, 515255, 24666, 520559]	0	[867631, 106553, 541829, 505111, 262187]
1381580	[1044028, 516357, 516251, 922943, 580874]	4	[673636, 615224, 638641, 1066648, 1062287]
736182	[343355, 1107293, 298760, 686804, 386206]	0	[511157, 196188, 333399, 371026, 207566]
1368926	[811760, 622946, 657326, 1106523, 980367]	3	[297546, 564127, 228638, 887337, 900341]
1109772	[349882, 176411, 39053, 811381, 613]	1	[928071, 663642, 1076104, 354225, 900456]
442077	[1016093, 262187, 516960, 564162, 792654]	2	[653716, 1056696, 846883, 375790, 652233]
41346	[512684, 512682, 811921, 627654, 272504]	1	[473680, 328408, 900341, 1075646, 386184]
1159365	[1056999, 843123, 543622, 365727, 1043592]	0	[460789, 811958, 558261, 616523, 960291]
329493	[349820, 1078749, 815857, 957464, 584623]	3	[614234, 686804, 297726, 215515, 281442]
1402836	[591, 844547, 867261, 1102432, 812123]	2	[1055885, 282962, 635, 775298, 14030]
674417	[600911, 758085, 878177, 439411, 900631]	2	[33004, 1037692, 734801, 813782, 307568]
1015807	[600452, 812431, 878433, 269683, 939582]	2	[206, 546398, 708802, 262187, 747148]
1446310	[215327, 476539, 411290, 349820, 215515]	3	[547357, 468405, 490770, 188362, 381453]
321661	[24666, 515255, 815290, 579377, 522072]	0	[867631, 595627, 768139, 741664, 880090]
1283638	[239630, 900355, 450, 520678, 512304]	1	[845735, 1075531, 1051950, 1024513, 265667]
775441	[217628, 1057545, 919522, 789565, 1037692]	4	[1101305, 574973, 1041406, 495160, 817354]
248057	[24960, 130364, 196188, 563184, 522256]	1	[582076, 1074108, 650083, 808828, 1090295]
1456709	[179009, 268116, 576005, 959833, 192686]	0	[819708, 491886, 188681, 262080, 1103262]
957211	[215341, 869398, 815255, 809521, 815257]	0	[750769, 216215, 778364, 910917, 72156]
995042	[474324, 251060, 809502, 263755, 1075646]	4	[264227, 346759, 459806, 108205, 168302]
840906	[584241, 601021, 889499, 1032353, 811927]	2	[338512, 342630, 782692, 788036, 234841]
1091314	[863547, 879350, 280705, 67025, 1113991]	4	[211775, 212129, 684720, 710877, 1032351]
209937	[930511, 812708, 843815, 148257, 176412]	1	[851436, 651618, 674322, 948929, 577113]
712988	[567966, 820898, 820903, 221093, 820945]	4	[300441, 910927, 608556, 776438, 187750]
1066318	[133432, 565516, 651618, 930511, 608532]	4	[868946, 1020394, 185111, 597114, 176412]
954257	[778356, 263714, 216215, 211888, 302470]	1	[516960, 879702, 24457, 99413, 565974]
713119	[324577, 258191, 1100942, 809666, 190167]	0	[176353, 293945, 967616, 212168, 519708]
249070	[600626, 1101692, 515936, 300590, 600566]	3	[663169, 246306, 809208, 215189, 881665]
667603	[550, 900394, 1075531, 1004194, 220735]	0	[975380, 745003, 846411, 487957, 489490]
698321	[959949, 221093, 794280, 187750, 567530]	2	[889499, 796972, 300648, 703625, 283950]
1058180	[265667, 248109, 843964, 846871, 458151]	0	[247090, 300667, 315191, 1032351, 503760]
452272	[334488, 565890, 1055927, 515291, 430390]	1	[1055885, 929615, 455336, 701195, 185111]
1379218	[600644, 820946, 187750, 959949, 300648]	1	[627297, 794280, 1101572, 919900, 627760]
1160872	[1043894, 741664, 468908, 905629, 1094348]	1	[430390, 209532, 284579, 94249, 811956]
1042967	[755177, 492214, 876748, 546718, 699316]	4	[802060, 601217, 628469, 487957, 456464]
1121952	[62246, 902041, 864089, 1061156, 439847]	3	[283948, 1055350, 805616, 203472, 275173]
768360	[203472, 264263, 547357, 284510, 1030168]	1	[1097298, 317343, 906238, 1103912, 757475]
1405758	[627008, 788037, 281442, 187552, 29784]	3	[491886, 142784, 1066648, 243160, 864348]
1120339	[300667, 260151, 869925, 821010, 820952]	3	[613844, 631494, 651618, 489490, 65413]
1438628	[40910, 932123, 246602, 863666, 649877]	4	[813176, 509713, 300712, 1061262, 212574]
647448	[373154, 706325, 215046, 890874, 926388]	1	[803853, 638609, 601850, 863547, 922876]
1452190	[901786, 300901, 441811, 409945, 583917]	1	[13313, 808828, 194604, 617119, 162603]
801415	[1061156, 333399, 203472, 254825, 264263]	1	[1059424, 864089, 600366, 600525, 1102992]
1417564	[512686, 995495, 496169, 328408, 233756]	1	[812528, 272504, 763159, 144635, 1039262]
1130471	[246599, 209532, 386410, 180401, 10312]	0	[1094348, 639172, 267978, 930511, 39053]
1297838	[180239, 365727, 614541, 1043592, 543622]	1	[244976, 106553, 37338, 675598, 487957]
1174766	[949959, 460, 600548, 975380, 583939]	2	[850643, 1026004, 506217, 459806, 875393]
176698	[979379, 782692, 710187, 300745, 212415]	4	[771733, 1025272, 180239, 1024513, 272504]
625968	[775566, 600625, 220789, 1059771, 220815]	4	[168684, 638609, 23028, 740113, 1059798]
289491	[846882, 792654, 846871, 644193, 247090]	2	[905672, 169962, 816814, 300628, 164754]
1392496	[13313, 616962, 314425, 812531, 272504]	0	[880231, 106553, 1029168, 1051951, 662334]
47383	[465067, 622946, 881665, 300614, 584459]	0	[1106523, 136927, 14864, 381815, 930511]
1082781	[411290, 1106755, 188362, 349820, 277628]	2	[1030429, 1044834, 334488, 212033, 81013]
1190426	[1075646, 168302, 468405, 748136, 29704]	0	[861424, 1055351, 852127, 622964, 516525]
830937	[212574, 546505, 511957, 878610, 40910]	3	[552524, 247070, 496156, 850337, 509492]
1281317	[439411, 28452, 1105947, 670320, 998098]	4	[926388, 864146, 1022919, 1101305, 300882]
749389	[883290, 748136, 474324, 776438, 328143]	4	[876953, 565982, 215588, 634146, 29704]
20572	[615224, 1051175, 627008, 627227, 509713]	0	[788036, 734043, 734801, 11892, 768684]
247743	[515936, 443335, 613844, 215189, 774063]	4	[490181, 263340, 8315, 302922, 600626]
254278	[780646, 300850, 1053285, 148906, 335414]	3	[324510, 846883, 280705, 816295, 185113]
1071372	[886911, 741491, 297726, 211775, 707528]	2	[224328, 14693, 818999, 1094442, 864266]
361530	[979478, 631466, 580874, 516251, 863441]	0	[144635, 929615, 1090965, 225489, 553296]
224585	[794954, 794976, 485531, 819544, 1061262]	0	[203026, 274846, 553777, 906232, 192035]
666522	[222798, 519706, 490430, 882072, 39053]	0	[663642, 846247, 564154, 1061158, 31455]
1162041	[512684, 300745, 362522, 212089, 1032353]	0	[272504, 582802, 216469, 344790, 469814]
607715	[900786, 200635, 920065, 188681, 831484]	0	[686208, 1103355, 600726, 35397, 708802]
1016557	[1059851, 520850, 407928, 435097, 820983]	0	[260151, 78133, 212233, 809666, 348009]
475415	[1094348, 810885, 846134, 246555, 1078026]	4	[394727, 11623, 910646, 11692, 1090965]
1103909	[67604, 600644, 220789, 775566, 959949]	0	[820945, 565890, 1106755, 28763, 99826]
1162808	[222798, 864035, 516125, 519706, 441773]	4	[639736, 324510, 1030429, 1114430, 490430]
1411822	[775381, 910927, 264349, 1106440, 515212]	0	[584169, 506865, 1025304, 173049, 196188]
751879	[312176, 148525, 212538, 212168, 900787]	1	[254939, 874549, 62246, 615224, 67025]
743646	[582368, 61815, 297726, 1102992, 775048]	1	[561355, 75639, 600656, 906225, 681]
871149	[784863, 878452, 677285, 802901, 1053373]	4	[863946, 297726, 1098338, 910917, 1062109]
810511	[819544, 410254, 284579, 224729, 302922]	4	[1057696, 1062685, 600625, 512686, 455336]
1428058	[900786, 343355, 1107293, 339702, 511157]	2	[869398, 491859, 1043466, 61981, 574879]
391779	[64014, 193031, 465067, 1078745, 300614]	0	[584459, 1105947, 876748, 547190, 191351]
1082653	[40910, 1089868, 151184, 882344, 1047069]	1	[491911, 486876, 1076994, 220789, 216285]
620095	[684720, 455850, 600461, 466280, 214329]	3	[217760, 562915, 146944, 300445, 512686]
802525	[820945, 775566, 221093, 820946, 567966]	4	[853453, 745096, 215588, 1050685, 1059787]
288515	[780186, 882344, 246602, 863666, 40910]	3	[979052, 224729, 31496, 277204, 503760]
413638	[300590, 281010, 215189, 520735, 515936]	4	[812590, 611312, 163289, 300081, 690312]
281204	[1113991, 95535, 697788, 1032351, 67025]	2	[920025, 843815, 171400, 598923, 487957]
1061250	[11623, 810885, 246613, 846109, 576761]	1	[220815, 149195, 547357, 1060513, 819585]
560577	[600528, 198970, 481, 520623, 221989]	3	[541861, 849875, 1094348, 327246, 771783]
254262	[732927, 2529, 760390, 809666, 550465]	2	[277204, 525345, 1015485, 747499, 788488]
418730	[134765, 455336, 794954, 91846, 1041394]	3	[1114430, 364925, 308531, 819540, 328496]
129195	[811760, 465067, 657326, 193031, 1106523]	0	[980367, 333874, 497021, 248109, 511687]
842797	[1062464, 38880, 577644, 44855, 1050715]	4	[799769, 550465, 896327, 741469, 297651]
943219	[843123, 543622, 180239, 1043592, 614541]	2	[491965, 277001, 1044037, 920526, 972209]
1216761	[512684, 811921, 1032353, 601021, 919389]	2	[192686, 1024513, 979379, 220816, 625679]
1083006	[230016, 911880, 560379, 591, 900421]	4	[1088282, 339688, 745096, 283950, 300628]
1078973	[263755, 746936, 1075646, 809747, 314069]	4	[515310, 574973, 282716, 565993, 474324]
601967	[150140, 611312, 567681, 214609, 562794]	0	[515420, 600442, 902041, 630261, 794976]
1227413	[900360, 313476, 281010, 690312, 1101692]	3	[519704, 230268, 634722, 866769, 629253]
643937	[254825, 463233, 264263, 154401, 881717]	3	[638607, 1089868, 633232, 247250, 237549]
1440396	[812531, 811914, 880231, 601021, 212415]	1	[758535, 13313, 1059863, 961987, 300648]
845398	[34975, 81144, 642706, 886133, 247250]	1	[74110, 463233, 263406, 747148, 1043894]
963516	[1069130, 1107293, 920065, 298760, 466156]	1	[57559, 200635, 92053, 919412, 164165]
1190458	[331037, 491881, 602105, 266780, 812708]	2	[819000, 246872, 597760, 180402, 158317]
338375	[185113, 185111, 408615, 779745, 519225]	3	[214583, 817354, 515936, 489745, 214609]
397371	[489490, 821010, 250099, 300667, 1059851]	0	[287234, 760390, 2262, 519708, 616523]
1096213	[302652, 639120, 470040, 1041406, 408615]	2	[627008, 564, 434528, 812531, 852994]
11181	[456464, 263082, 755177, 216242, 699316]	1	[455348, 1078126, 817354, 701195, 405662]
1400881	[142784, 809501, 510970, 283111, 580332]	3	[24457, 267951, 149330, 681360, 221989]
1101227	[811624, 741664, 246235, 234872, 246498]	1	[815292, 846247, 202370, 1102992, 799036]
1043365	[600653, 564, 591, 1103605, 900452]	4	[862077, 608532, 372747, 23028, 1102432]
207826	[315191, 597821, 503608, 578049, 918899]	4	[293945, 72156, 790368, 246613, 807]
1363858	[2529, 809666, 550465, 190167, 165972]	4	[864266, 805408, 661314, 243608, 653716]
1423455	[506865, 502743, 1030168, 775298, 284510]	1	[339702, 342941, 154401, 251060, 819545]
1350933	[308620, 662334, 194579, 249544, 550065]	4	[741780, 220675, 887337, 453107, 1041394]
824614	[520081, 185111, 408615, 476620, 842288]	4	[600341, 584241, 816483, 681368, 302652]
820209	[740113, 433524, 463121, 505811, 812431]	0	[876735, 1074188, 801571, 212168, 910917]
1339912	[681926, 276919, 456572, 300631, 884995]	0	[900508, 1089868, 102687, 339452, 198972]
36607	[601021, 919389, 212093, 1032353, 237778]	2	[212592, 216469, 338167, 864348, 502743]
1361119	[324577, 550465, 258191, 1015485, 328496]	1	[758012, 74235, 13869, 884995, 957464]
296423	[30448, 952876, 630239, 630252, 1114590]	0	[330241, 491881, 1061158, 716, 24960]
778675	[900360, 157903, 866769, 1101692, 820816]	1	[212574, 774063, 900495, 13927, 998017]
445956	[796972, 1052635, 813176, 916657, 600461]	1	[246794, 901871, 846883, 900449, 298760]
1142502	[261263, 300213, 293945, 952052, 673636]	4	[300081, 263942, 1101434, 1065581, 1029591]
1034588	[176737, 546718, 338502, 195657, 1078126]	3	[1056762, 1056489, 519223, 1031994, 578465]
1211489	[885622, 601109, 173628, 266780, 164754]	4	[877885, 816295, 811921, 212181, 764432]
364739	[212149, 1050715, 35090, 997576, 297651]	0	[439241, 391368, 921557, 61981, 900447]
1402161	[863657, 1100319, 381854, 460, 600528]	3	[811956, 519706, 176412, 220315, 1092029]
1346927	[473680, 900349, 456571, 900355, 844543]	2	[148906, 846227, 820396, 179009, 880090]
270301	[782692, 995495, 615639, 1032353, 979379]	3	[297546, 746535, 251002, 314425, 825066]
397209	[775298, 886133, 198558, 264263, 642706]	3	[1056584, 272965, 8307, 881717, 269683]
138002	[803154, 157903, 900360, 1059714, 862393]	0	[215189, 616523, 165972, 2262, 519225]
739885	[1014189, 1054196, 916630, 916686, 900513]	0	[900508, 212129, 600366, 1091088, 178952]
1033482	[456571, 844543, 220302, 220735, 1100319]	2	[25820, 476026, 900394, 262637, 481205]
292174	[300527, 947677, 327246, 272504, 616962]	3	[198970, 638902, 1102427, 584241, 407928]
1196641	[220302, 228546, 388753, 473680, 1059686]	4	[564559, 37237, 1031994, 600691, 820396]
1053059	[168302, 883290, 564099, 314069, 758535]	2	[666835, 164165, 251060, 803588, 185107]
973957	[811927, 889499, 512686, 212415, 811915]	3	[490412, 212181, 103076, 212093, 190678]
914918	[812338, 491965, 300018, 283948, 640492]	1	[158832, 25820, 515329, 516555, 639512]
1364738	[39412, 864447, 863547, 554639, 1081649]	3	[681360, 562451, 200050, 879350, 775679]
587559	[264263, 333399, 642706, 1030168, 775298]	1	[245535, 463233, 246499, 458146, 821010]
743597	[600058, 998017, 812338, 627377, 251966]	0	[25820, 615224, 180402, 176412, 275173]
840990	[560379, 165147, 812123, 635, 300628]	3	[67992, 819544, 173049, 900452, 686804]
732616	[600644, 74110, 300648, 1051714, 820903]	1	[896151, 900447, 1078749, 1039288, 637226]
437524	[218915, 837446, 1032351, 852994, 8315]	1	[284405, 215245, 224729, 13869, 581500]
5547	[980367, 657326, 300614, 151832, 465067]	1	[561197, 881665, 282962, 1115793, 246555]
1353237	[811972, 335414, 812542, 327307, 148906]	4	[283201, 1100239, 811969, 297651, 582230]
388131	[330241, 906225, 630252, 30448, 608436]	0	[630261, 466280, 447919, 1023484, 664803]
429490	[597760, 212244, 185112, 597749, 173628]	3	[173659, 862244, 921557, 1062822, 513536]
920503	[492214, 876748, 755177, 216242, 282204]	4	[1739, 900508, 67604, 811969, 1056696]
532966	[945809, 1025272, 81013, 780304, 430280]	2	[35219, 1030168, 253916, 819004, 1057545]
57795	[522256, 246599, 1088803, 731241, 460224]	4	[639736, 631466, 144635, 212155, 1043894]
215363	[1105835, 214934, 41134, 216242, 1078126]	4	[490430, 505111, 573866, 441773, 1031994]
575325	[515291, 565890, 868389, 277628, 455348]	1	[61815, 430390, 732927, 575876, 94249]
196770	[299060, 561249, 335118, 1107395, 1115625]	3	[215588, 203472, 1062822, 333874, 486876]
779711	[711272, 929615, 1078749, 411290, 74235]	0	[577113, 1055350, 192035, 185107, 540385]
1441129	[1036760, 460224, 187358, 468908, 10312]	1	[277804, 843429, 911855, 57871, 190124]
715012	[514116, 846109, 546398, 246235, 386410]	0	[246597, 463121, 513113, 864078, 920065]
1143753	[516885, 644193, 541829, 792654, 1078191]	4	[707528, 1012934, 698373, 821010, 846411]
857948	[13797, 790726, 218915, 23028, 190124]	1	[300699, 576950, 15522, 751656, 338456]
1280841	[253214, 1051951, 187552, 243160, 627227]	3	[13473, 222798, 916686, 545600, 578527]
1027873	[215341, 37338, 815255, 217709, 815257]	1	[1091088, 951756, 327307, 910917, 920025]
78252	[65413, 187358, 196188, 843429, 460224]	3	[1101692, 525345, 634845, 1088803, 398834]
1283059	[1053578, 820396, 282716, 1059686, 327246]	0	[600548, 922943, 864520, 1010894, 635]
810010	[650083, 1114590, 630239, 952876, 330241]	1	[1022919, 630252, 253986, 218261, 864520]
1157374	[812431, 878433, 407, 708802, 600452]	2	[633232, 253214, 524496, 260151, 822171]
1459408	[900409, 812123, 39092, 844547, 300628]	1	[194899, 820229, 209734, 246306, 300614]
1213725	[751642, 2529, 176353, 258191, 967584]	0	[74235, 881665, 337119, 299713, 634991]
1081292	[308551, 601021, 811921, 584241, 300745]	2	[200050, 165147, 237778, 1044821, 216529]
437691	[175442, 1061408, 195570, 880231, 233756]	4	[35397, 307568, 925494, 627377, 1053248]
639937	[393245, 1041394, 455336, 249544, 541652]	2	[798992, 811946, 203026, 220789, 314425]
66563	[900568, 328408, 812531, 396326, 601021]	4	[780646, 1093367, 695817, 582464, 272504]
136198	[565982, 611816, 510970, 529397, 681360]	1	[920093, 1038468, 450, 225029, 1106755]
422035	[203026, 485531, 614010, 1086922, 794976]	4	[281243, 939582, 811998, 739798, 393245]
884670	[349882, 601850, 519706, 176411, 600649]	2	[615224, 919756, 864035, 175442, 522858]
73964	[919389, 282316, 237778, 512682, 811915]	4	[95535, 151457, 1075646, 820952, 601021]
696798	[42838, 1093367, 1044834, 808643, 192686]	0	[819708, 703625, 900508, 300767, 780209]
